Id;Nombre;Dirección;Localidad;Barrio;Horario;Número de locales;Productos - servicios comercializados;Sitio web;coord_x;coord_y
20;Madrugón de Frutas y Verduras – Lote Los Sierra;Calle 23 Sur # 5 - 36;San Cristobal;S.C. Granada Sur;Lunes - Domingo 7:00 AM a 7:00 PM;111;frutas y verduras;http://www.ipes.gov.co;-74,09203306;4,570905374
21;Plazoleta de comidas del 20 de julio;Calle 26 Sur # 6 - 35;San Cristobal;S.C. 20 De Julio;Lunes - Domingo 8:00 AM a 5:00 PM;10;servicio de restaurante con variedad de platos típicos.;http://www.ipes.gov.co;-74,09466843;4,569900253
22;Recinto Ferial 20 de Julio;Diagonal 30 A Sur # 5-91;San Cristobal;Suramerica;Lunes - Domingo 9:00 AM a 5:00 PM;62;ropa, calzado, accesorios para teléfono celular, artículos religiosos, artículos elaborados en cuero, entre otros.;http://www.ipes.gov.co;-74,09625245;4,566472151
25;Centro Comercial y Cultural La Veracruz;Calle 17 # 4-65;Santa Fé;Veracruz;Lunes - Sábado 9:00 AM a 7:00 PM;63;artesanías, ropa, venta de bisutería, servicio de restaurante.;http://www.ipes.gov.co;-74,07050275;4,602066475
26;Galería artesanal Avenida 19;Calle 19 # 9-68;Santa Fé;Las Nieves;Lunes - Domingo 7:00 AM a 7:00 PM;21;variedades, servicio de arreglo de celulares.;http://www.ipes.gov.co;-74,07359059;4,606909183
27;Alternativa Comercial Manzana 22;Carrera 11 # 9 - 1;Santa Fé;Santa Ines;Lunes - Domingo 8:00 AM a 6:00 PM;140;ropa, calzado.;http://www.ipes.gov.co;-74,08001329;4,598803009
28;Caseta Feria Popular Rotonda Santafé;Carrera 7 # 26-88;Santa Fé;San Diego;Lunes - Domingo 8:00 AM a 8:00 PM;22;artesanías;http://www.ipes.gov.co;-74,06933731;4,613402797
29;Galerías calle 53;Avenida Calle 53 # 19-19;Teusaquillo;Banco Central;Lunes - Sábado 11:00 AM a 6:00 PM;16;artesanías;http://www.ipes.gov.co;-74,07106137;4,641123673
30;Galerías Plaza Centro Cultural y Comercial;Carrera 27 # 52-39;Teusaquillo;Galerias;Martes - Sábado 4:00 PM a 2:00 AM;30;licores, comestibles;http://www.ipes.gov.co;-74,07623568;4,641616525
32;Punto Comercial Bode Ganga Usme;Avenida carrera 1 # 73 D - 36 Sur;Usme;El Refugio Sector Santa Librada;Lunes - Domingo 8:00 AM a 6:30 PM;62;ropa, calzado, cachivaches, arreglo de electrodomésticos.;http://www.ipes.gov.co;-74,14451055;4,625054866
